The following table shows the names of the delegates who at some point attended the Continental Congress. Because a delegate did not necessarily take his seat in Congress in the same year that he was elected, nor did he necessarily stay for the duration of his term, there are slight discrepancies in the sources regarding the years of service for some delegates. Only those years that the delegate actually attended Congress are shown on the table. All data is from the Biographical Directory of the United States Congress, except where entries been corrected using more detailed sources, particularly the American National Biography.

The table also indicates (with an X) which delegates signed the Continental Association (1774), the United States Declaration of Independence (1776), the Articles of Confederation (1778–1781), and the United States Constitution (1787). The first three documents were created by Congress, and so all signers were necessarily delegates; the United States Constitution was signed at a special convention outside of Congress, and its signatories were not all current or former members of Congress.

John Dickinson has two entries on the table because he served as a delegate from both Pennsylvania and Delaware. The person who most frequently attended Congress was not a delegate: he was Charles Thomson, who served as secretary throughout Congress' existence.
	Name 	State 	Years attended 	Association 	Declaration 	Confederation 	Constitution
330 	Hugh Williamson 	North Carolina 	1782–1785, 1787–1789[3] 	— 	— 	— 	X
331 	Thomas Willing 	Pennsylvania 	1775–1776 	— 	— 	— 	—
332 	James Wilson 	Pennsylvania 	1775–1777, 1783, 1785–1786 	— 	X 	— 	X
333 	Paine Wingate 	New Hampshire 	1788 	— 	— 	— 	—
334 	Henry Wisner 	New York 	1774–1776[3] 	X 	— 	— 	—
335 	John Witherspoon 	New Jersey 	1776–1782 	— 	X 	X 	—
336 	Oliver Wolcott 	Connecticut 	1776–1778, 1780–1783 	— 	X 	X 	—
337 	Joseph Wood 	Georgia 	1777–1778 	— 	— 	— 	—
338 	Turbutt Wright 	Maryland 	1782 	— 	— 	— 	—
339 	Henry Wynkoop 	Pennsylvania 	1779–1782 	— 	— 	— 	—
340 	George Wythe 	Virginia 	1775–1776 	— 	X 	— 	—
341 	Abraham Yates 	New York 	1787–1788 	— 	— 	— 	—
342 	Peter W. Yates 	New York 	1786 	— 	— 	— 	—
343 	John Joachim Zubly 	Georgia 	1775 	— 	— 	— 	—
	Name 	State 	Years attended 	Association 	Declaration 	Confederation 	Constitution
Elected but did not attend

This table shows those who were elected as delegates to the Continental Congress but never attended a session. All data is from the Biographical Directory of the United States Congress.
# 	Name 	State 	Years elected
1 	Benjamin Andrew 	Georgia 	1780
2 	Samuel Ashley 	New Hampshire 	1779
3 	George Atkinson 	New Hampshire 	1780, 1785
4 	John Barnwell 	South Carolina 	1784
5 	Gunning Bedford Sr. 	Delaware 	1786
6 	Benjamin Bellows 	New Hampshire 	1781
7 	John Blair, Jr. 	Virginia 	1781
8 	James Bowdoin 	Massachusetts 	1774
9 	William Bradford 	Rhode Island 	1776
10 	Ephraim Brevard 	North Carolina 	1781
11 	John Brown 	Rhode Island 	1784, 1785
12 	John Canfield 	Connecticut 	1786
13 	George Champlin 	Rhode Island 	1785, 1786
14 	Charles C. Chandler 	Connecticut 	1784
15 	John Chester 	Connecticut 	1787, 1788
16 	Matthew Clarkson 	Pennsylvania 	1785
17 	Joseph Clay 	Georgia 	1778
18 	John Cooper 	New Jersey 	1776
19 	Tristram Dalton 	Massachusetts 	1783, 1784
20 	Timothy Danielson 	Massachusetts 	1780, 1782, 1783
21 	Elias Dayton 	New Jersey 	1778
22 	Moses Dow 	New Hampshire 	1784
23 	Samuel Duffield 	Pennsylvania 	1777
24 	Timothy Edwards 	Massachusetts 	1778
25 	Samuel Elbert 	Georgia 	1784
26 	John Evans 	Delaware 	1776
27 	Sylvester Gardner 	Rhode Island 	1787
28 	Edward Giles 	Maryland 	1782
29 	Alexander Gillon 	South Carolina 	1784
30 	Isaac Grantham 	Delaware 	1787
31 	James Gunn 	Georgia 	1787
32 	Joseph Habersham 	Georgia 	1784
33 	John Hathorn 	New York 	1788[14]
34 	Thomas Henderson 	New Jersey 	1779
35 	James Hillhouse 	Connecticut 	1786, 1788
36 	William Hillhouse 	Connecticut 	1783, 1785
37 	Thomas Holden 	Rhode Island 	1788, 1789
38 	Charles Johnson 	North Carolina 	1781, 1784, 1785
39 	Gabriel Jones 	Virginia 	1779
40 	Samuel Jones 	New York 	1788
41 	Henry Latimer 	Delaware 	1784
42 	Levi Lincoln 	Massachusetts 	1781
43 	Rawlins Lowndes 	South Carolina 	1779
44 	Nathaniel Macon 	North Carolina 	1785
45 	Daniel Manton 	Rhode Island 	1787
46 	Alexander Martin 	North Carolina 	1786
47 	Luther Martin 	Virginia 	1784
48 	George Mason 	Virginia 	1777
49 	Joseph McDowell 	North Carolina 	1787
50 	Lachlan McIntosh 	Georgia 	1784
51 	John McKinly 	Delaware 	1784
52 	William Montgomery 	Pennsylvania 	1784
53 	William Moore 	Pennsylvania 	1777
54 	William Moultrie 	South Carolina 	1784
55 	Paul Mumford 	Rhode Island 	1785
56 	John Neilson 	New Jersey 	1778[15]
57 	Joseph Nicholson 	Maryland 	1777
58 	William O'Bryen 	Georgia 	1789
59 	Adlai Osborne 	North Carolina 	1784
60 	Henry Osborne 	Georgia 	1786
61 	William Paterson 	New Jersey 	1780, 1787
62 	Samuel Patterson 	Delaware 	1784
63 	Elisha Payne 	New Hampshire 	1784
64 	Nathaniel Pendleton 	Georgia 	1789
65 	Thomas Person 	North Carolina 	1784
66 	Peter Philips 	Rhode Island 	1785
67 	John Pickering 	New Hampshire 	1787
68 	William Pitkin 	Connecticut 	1784
69 	Thomas Polk 	North Carolina 	1786
70 	Richard Ridgely 	Maryland 	1784, 1785
71 	Gustavus Scott 	Maryland 	1784
72 	William Smallwood 	Maryland 	1784
73 	Benjamin Smith 	North Carolina 	1784
74 	John Sparhawk 	New Hampshire 	1786
75 	Samuel Stirk 	Georgia 	1781
76 	John Stokes 	North Carolina 	1787
77 	Caleb Strong 	Massachusetts 	1780
78 	Jedediah Strong 	Connecticut 	1782, 1784, 1784
79 	James Sullivan 	Massachusetts 	1782, 1783
80 	Thomas Sumter 	South Carolina 	1783
81 	Ebenezer Thompson 	New Hampshire 	1778, 1783
82 	John Treadwell 	Connecticut 	1784, 1785, 1787
83 	Paul Trapier 	South Carolina 	1777
84 	Joseph Trumbull 	Connecticut 	1774
85 	Timothy Walker Jr. 	New Hampshire 	1777, 1778, 1782, 1785
86 	James Warren 	Massachusetts 	1782
87 	Joshua Wentworth 	New York 	1779
88 	Benjamin West 	New Hampshire 	1787
89 	Stephen West 	Virginia 	1780
90 	Erastus Wolcott 	North Carolina 	1774, 1787, 1788 
